Trading Event,Trading Event Date,GDT-AMF Price Index,GDT-SMP Price Index,GDT-WMP Price Index,GDT Price Index,% Change AMF,% Change SMP,% Change WMP,% Change GDT
-113,01-01-1999,546.4994,478.7078,506.9503,521.7518,,,,
-112,01-02-1999,436.7185,466.9604,487.7477,497.1371,-0.2009,-0.0245,-0.0379,-0.0472
-111,01-03-1999,415.6475,466.9604,476.2261,489.0783,-0.0482,0,-0.0236,-0.0162
-110,01-04-1999,400.638,453.7445,460.8639,473.9355,-0.0361,-0.0283,-0.0323,-0.031
-109,01-05-1999,398.3288,449.3392,449.3423,465.6247,-0.0058,-0.0097,-0.025,-0.0175
-108,01-06-1999,398.3288,440.5286,445.5018,459.8633,0,-0.0196,-0.0085,-0.0124
-107,01-07-1999,378.5086,428.4875,445.5018,453.1807,-0.0498,-0.0273,0,-0.0145
-106,01-08-1999,379.2783,442.7313,445.5018,459.1742,0.002,0.0332,0,0.0132
-105,01-09-1999,380.1442,463.7004,445.5018,467.9751,0.0023,0.0474,0,0.0192
-104,01-10-1999,409.8746,480.1762,445.5018,477.339,0.0782,0.0355,0,0.02
-103,01-11-1999,409.8746,502.2026,457.0234,492.7895,0,0.0459,0.0259,0.0324
-102,01-12-1999,409.8746,502.2026,457.0234,492.7895,0,0,0,0
-101,01-01-2000,382.9345,533.0396,477.5063,514.5613,-0.0657,0.0614,0.0448,0.0442
-100,01-02-2000,357.9186,555.0661,491.5882,529.3946,-0.0653,0.0413,0.0295,0.0288
-99,01-03-2000,340.6,550.6608,491.5882,526.1519,-0.0484,-0.0079,0,-0.0061
-98,01-04-2000,340.6,548.4581,514.6314,537.7569,0,-0.004,0.0469,0.0221
-97,01-05-2000,342.0432,566.9604,514.6314,545.6477,0.0042,0.0337,0,0.0147
-96,01-06-2000,343.4864,632.1586,558.7975,597.1741,0.0042,0.115,0.0858,0.0944
-95,01-07-2000,347.335,698.9721,590.1619,642.807,0.0112,0.1057,0.0561,0.0764
-94,01-08-2000,349.2593,766.5198,612.1809,683.7255,0.0055,0.0966,0.0373,0.0637
-93,01-09-2000,349.2593,770.9251,606.8042,682.7896,0,0.0057,-0.0088,-0.0014
-92,01-10-2000,357.9186,779.7357,610.6447,689.3598,0.0248,0.0114,0.0063,0.0096
-91,01-11-2000,357.9186,775.3304,622.1663,693.5386,0,-0.0056,0.0189,0.0061
-90,01-12-2000,346.3729,788.5463,637.5285,706.3413,-0.0323,0.017,0.0247,0.0185
-89,01-01-2001,348.2972,788.5463,637.5285,706.5082,0.0056,0,0,0.0002
-88,01-02-2001,346.3729,779.7357,622.1663,694.439,-0.0055,-0.0112,-0.0241,-0.0171
-87,01-03-2001,346.3729,748.8987,633.6879,687.3925,0,-0.0395,0.0185,-0.0101
-86,01-04-2001,346.3729,753.304,633.6879,689.2543,0,0.0059,0,0.0027
-85,01-05-2001,346.3729,753.304,640.2168,692.7859,0,0,0.0103,0.0051
-84,01-06-2001,355.0322,753.304,645.2095,696.293,0.025,0,0.0078,0.0051
-83,01-07-2001,392.5559,747.4302,643.9293,696.6413,0.1057,-0.0078,-0.002,0.0005
-82,01-08-2001,401.2153,735.6828,629.8474,684.8631,0.0221,-0.0157,-0.0219,-0.0169
-81,01-09-2001,401.2153,726.8722,622.1663,677.0225,0,-0.012,-0.0122,-0.0114
-80,01-10-2001,353.589,700.4405,604.8839,652.3821,-0.1187,-0.0364,-0.0278,-0.0364
-79,01-11-2001,343.4864,660.793,572.2394,617.2846,-0.0286,-0.0566,-0.054,-0.0538
-78,01-12-2001,311.7356,605.7269,522.3125,564.275,-0.0924,-0.0833,-0.0872,-0.0859
-77,01-01-2002,315.5842,566.8135,490.308,531.1722,0.0123,-0.0642,-0.0613,-0.0587
-76,01-02-2002,317.5085,522.0264,445.5018,488.3616,0.0061,-0.079,-0.0914,-0.0806
-75,01-03-2002,303.0763,480.1762,414.7776,453.1122,-0.0455,-0.0802,-0.069,-0.0722
-74,01-04-2002,300.1898,460.3524,407.0965,440.7165,-0.0095,-0.0413,-0.0185,-0.0274
-73,01-05-2002,300.1898,444.9339,395.5749,428.1402,0,-0.0335,-0.0283,-0.0285
-72,01-06-2002,300.1898,436.1233,380.2128,415.9561,0,-0.0198,-0.0388,-0.0285
-71,01-07-2002,300.1898,424.3759,380.2128,411.3759,0,-0.0269,0,-0.011
-70,01-08-2002,288.6441,422.9075,374.452,406.3886,-0.0385,-0.0035,-0.0152,-0.0121
-69,01-09-2002,303.0763,444.9339,391.7344,426.2392,0.05,0.0521,0.0462,0.0488
-68,01-10-2002,305.9627,482.3789,426.2992,460.7877,0.0095,0.0842,0.0882,0.0811
